states,actions
"[-0.2270291566070749, -3.0710295373470538, -0.08615966238536465, -1.548121111182609]",[-0.6070370130509527]
"[-0.2270291566070749, -3.0802334220743677, -0.06892772990829066, -1.6986911253117793]",[-0.6069320548012308]
"[-0.2239611950313036, -3.089437306801681, 0.09825589486193032, -1.8191471366151153]",[-0.6068399286336689]
"[-0.22089323345553233, -3.098641191528995, 0.2320027946781078, -1.915511945657785]",[-0.6067606423523568]
"[-0.21782527187976106, -3.107845076256309, 0.3390003145310523, -1.9926037928919205]",[-0.6066942026737066]
"[-0.21475731030398976, -3.120116922559394, 0.42459833041340467, -2.2076753494677925]",[-0.606640615225883]
"[-0.21475731030398976, -3.129320807286708, 0.3396786643307248, -2.2263345159399264]",[-0.6059039023012286]
"[-0.2086213871524472, -3.141592653589793, 0.5785390890417066, -2.3946599279061975]",[-0.6065655822052997]
"[-0.2055534255766759, 3.1293208072867076, 0.6162293500219302, -2.5293202574792146]",[-0.6058688844745777]
"[-0.20248546400090464, 3.1201169225593945, 0.646381558806107, -2.483650442349064]",[-15.0]
"[-0.18407769454627693, 3.1047771146805374, 1.4374937197762723, -2.7539107478220717]",[-0.606589165343601]
"[-0.16873788666742054, 3.0863693452259104, 1.9169853697638377, -3.123517070989042]",[-0.6050907338548022]
"[-0.1564660403643354, 3.0710295373470533, 2.1471806109653278, -3.265804050734054]",[-0.6041424865726361]
"[-0.14726215563702155, 3.0526217678924263, 2.1779387251379543, -3.533031713318628]",[-0.6053657392758083]
"[-0.1380582709097077, 3.0342139984377985, 2.2025452164760546, -3.746813843386287]",[-0.6045116370425769]
"[-0.12885438618239387, 3.0188741905589422, 2.222230409546537, -3.76444146865185]",[-0.6047856285023779]
"[-0.11658253987930872, 3.0004664211043144, 2.3913766427914878, -3.9319416476528644]",[-0.606129880842809]
"[-0.10737865515199488, 2.985126613225458, 2.3732955505988818, -3.912543712065112]",[-0.6054207383272195]
"[-0.09817477042468103, 2.9667188437708303, 2.3588306768447964, -4.050423442383474]",[-0.606842917582353]
"[-0.08897088569736719, 2.9544469974677448, 2.34725877784153, -3.853931069061037]",[-0.6062270642823647]
"[-0.08283496254582462, 2.9391071895888885, 2.1846031798503516, -3.8501352491916503]",[-0.6085204450763695]
"[-0.07363107781851078, 2.9237673817100323, 2.2078767802459733, -3.84709859329614]",[-0.6080903428582555]
"[-0.06442719309119693, 2.9114955354069467, 2.2264956605624713, -3.691271189791169]",[-0.6085762962354282]
"[-0.05829126993965436, 2.899223689103862, 2.0879926860271056, -3.566609266987193]",[-0.6098712370957049]
"[-0.04908738521234052, 2.8869518428007765, 2.130588385187376, -3.4668797287440114]",[-0.6103073921100483]
"[-0.04295146206079795, 2.8777479580734626, 2.01126686572703, -3.233698019360899]",[-0.610765748078167]
"[-0.03681553890925539, 2.865476111770378, 1.915809650158752, -3.2005507306429752]",[-0.6118093060740688]
"[-0.030679615757712823, 2.8593401886188348, 1.8394438777041298, -2.8672367420915084]",[-0.6116210825679663]
"[-0.02454369260617026, 2.850136303891521, 1.7783512597404323, -2.753983630038901]",[-0.6130525949568199]
"[-0.018407769454627694, 2.8440003807399785, 1.7294771653694738, -2.5099830616082475]",[-0.6129585778262845]
"[-0.01227184630308513, 2.837864457588436, 1.6903778898727069, -2.3147826068637283]",[-0.6137185365029356]
"[-0.009203884727313847, 2.831728534436894, 1.50570039068673, -2.158622243068109]",[-0.6139944876690899]
"[-0.0030679615757712823, 2.8255926112853507, 1.511356470126512, -2.0336939520316157]",[-0.6142758945370361]
"[-0.0, 2.82252464970958, 1.3624832548897738, -1.7803532404138576]",[-0.614562746511965]
"[0.0030679615757712823, 2.8194566881338083, 1.243384682700383, -1.5776806711196478]",[-0.6150018952086194]
"[0.006135923151542565, 2.8194566881338083, 1.1481058249488707, -1.2621445368957183]",[-0.6151487169550782]
"[0.01227184630308513, 2.8194566881338083, 1.2252808175362249, -1.0097156295165757]",[-0.0]
"[0.01227184630308513, 2.8194566881338083, 0.9802246540289798, -0.8077725036132595]",[-0.0]
"[0.015339807878856412, 2.8194566881338083, 0.9375778020117479, -0.6462180028906079]",[-0.0]
"[0.018407769454627694, 2.82252464970958, 0.9034603203979624, -0.3635763235239242]",[-0.0]
"[0.018407769454627694, 2.8255926112853507, 0.7227682563183699, -0.13746298003057333]",[0.6150018952086194]
"[0.018407769454627694, 2.831728534436894, 0.5782146050546959, 0.19682577355266773]",[0.6148564306729817]
"[0.018407769454627694, 2.837864457588436, 0.4625716840437568, 0.4642567764192602]",[0.614275894537036]
"[0.018407769454627694, 2.84706834231575, 0.3700573472350055, 0.8315996575011013]",[0.6139944876690899]
"[0.018407769454627694, 2.8532042654672924, 0.2960458777880043, 0.9720758835780074]",[0.6130931364610597]
"[0.015339807878856412, 2.865476111770378, 0.08343862344183928, 1.391253022016663]",[0.6133148618651273]
"[0.01227184630308513, 2.874679996497692, -0.08664718003509264, 1.573196653979025]",[0.611621082567966]
"[0.009203884727313847, 2.8869518428007765, -0.22271582281663838, 1.8721496383374738]",[0.611931499015711]
"[0.006135923151542565, 2.902291650679633, -0.33157073704187473, 2.264710104612803]",[0.6107657480781671]
"[-0.0, 2.9145634969827183, -0.5720527472106279, 2.4253603988444983]",[0.6093152169110247]
"[-0.006135923151542565, 2.9299033048615746, -0.7644383553456306, 2.70727871301842]",[0.6097656750120194]
"[-0.01227184630308513, 2.9483110743162024, -0.9183468418536328, 3.0862114431461194]",[0.608377721645127]
"[-0.018407769454627694, 2.9636508821950587, -1.0414736310600343, 3.235959548459716]",[0.6067387234262049]
"[-0.02454369260617026, 2.9820586516496865, -1.139975062425156, 3.509156111499159]",[0.6073856684137595]
"[-0.030679615757712823, 3.003534382680085, -1.2187762075172528, 3.881111440719276]",[0.605839381468049]
"[-0.039883500485026674, 3.021942152134713, -1.4352152023794948, 4.025277625306805]",[0.6040832823903098]
"[-0.04601942363656923, 3.0434178831651124, -1.454968319480724, 4.294008651765393]",[0.6047218933076118]
"[-0.05522330836388308, 3.0618256526197394, -1.6241688919502715, 4.355595394143698]",[0.6039310058459039]
"[-0.06442719309119693, 3.083301383650139, -1.75952934992591, 4.558262866834909]",[0.6036269398585409]
"[-0.07363107781851078, 3.1047771146805374, -1.8678177163064198, 4.720396844987875]",[0.6035293823020517]
"[-0.08283496254582462, 3.126252845710937, -1.9544484094108276, 4.850104027510249]",[0.6033195352402332]
"[-0.09203884727313846, -3.1354567304382504, -2.0237529638943554, 4.953869773528149]",[0.6028857567396483]
"[-0.10124273200045232, -3.113980999407852, -2.079196607481177, 5.036882370342468]",[3.1048189067024623]
"[-0.11044661672776616, -3.089437306801681, -2.1235515223506334, 5.256690526582487]",[15.0]
"[-0.13192234775816514, -3.064893614195511, -2.7726277694004557, 5.432537051574503]",[15.0]
"[-0.1564660403643354, -3.034213998437798, -3.4452868458288766, 5.880010429145242]",[15.0]
"[-0.18100973297050565, -3.000466421104314, -3.9834141069716145, 6.391387209990399]",[-0.4334924403831679]
"[-0.2086213871524472, -2.9605829206192875, -4.56731399467437, 7.107284792243653]",[-3.3408063447497245]
"[-0.23316507975861744, -2.9237673817100323, -4.881035826048007, 7.526604779257692]",[0.3048490605751226]
"[-0.25464081078901646, -2.8869518428007765, -4.978615212358356, 7.862060768868925]",[-0.47387848429008034]
"[-0.2791845033951867, -2.8532042654672924, -5.210076800195196, 7.977027481769345]",[-0.5550620243782295]
"[-0.30066023442558565, -2.8194566881338083, -5.241847991676105, 8.06900085208968]",[0.5933305747755292]
"[-0.3190680038802134, -2.788777072376096, -5.1138668660722715, 7.989181469557385]",[0.551653396373128]
"[-0.3374757733348411, -2.761165418194154, -5.011481965589203, 7.7719278847429845]",[0.5919273088732211]
"[-0.35588354278946877, -2.7335537640122127, -4.929574045202745, 7.598125016891466]",[0.6128746651293158]
"[-0.37429131224409645, -2.705942109830271, -4.864047708893581, 7.459082722610248]",[0.6156458853995364]
"[-0.38963112012295287, -2.6813984172241008, -4.658228561057685, 7.194450808396711]",[0.6141095435651488]
"[-0.4049709280018093, -2.6599226861937018, -4.493573242788971, 6.829347198237315]",[0.6140435627677074]
"[-0.4172427743048944, -2.6384469551633027, -4.208450909385434, 6.537264310109801]",[0.6170087786558408]
"[-0.4325825821837508, -2.6200391857086753, -4.133751121451162, 6.150199920819226]",[0.6206929220637015]
"[-0.44485442848683593, -2.6016314162540475, -3.920593212315186, 5.840548409386763]",[0.623266979647845]
"[-0.45712627478992107, -2.5832236467994196, -3.7500668850064045, 5.592827200240798]",[0.6251606631653683]
"[-0.4693981210930062, -2.5678838389205634, -3.6136458231593807, 5.241252154135463]",[0.626890213707822]
"[-0.47860200582032003, -2.5556119926174783, -3.3511108948931927, 4.806594038462627]",[0.6283913252673645]
"[-0.4878058905476339, -2.543340146314393, -3.14108295228025, 4.458867545924356]",[0.629903881296688]
"[-0.4970097752749477, -2.5341362615870793, -2.973060598189889, 4.027288273105182]",[0.6317016637195483]
"[-0.5062136600022615, -2.5249323768597653, -2.838642714917601, 3.6820248548498355]",[0.6331291396146221]
"[-0.5154175447295755, -2.518796453708223, -2.7311084082997787, 3.2524160414569963]",[0.6343097876737102]
"[-0.521553467881118, -2.5126605305566803, -2.491682884216946, 2.908728990742727]",[0.6351114144068273]
"[-0.5307573526084318, -2.509592568980909, -2.4535405437392477, 2.480381271382747]",[0.6358980897446004]
"[-0.5368932757599744, -2.5065246074051375, -2.2696285925685302, 2.137703095894757]",[0.6363928745010694]
"[-0.543029198911517, -2.5065246074051375, -2.122499031631957, 1.710162476715805]",[0.6368410029316518]
"[-0.5460971604872883, -2.5065246074051375, -1.851397304094128, 1.3681299813726469]",[0.6369580038000405]
"[-0.5522330836388308, -2.509592568980909, -1.7879140008524317, 0.9411059063095522]",[0.6370242958853528]
"[-0.5583690067903734, -2.5126605305566803, -1.7371273582590696, 0.5994866462590771]",[-0.6367667432516091]
"[-0.5614369683661447, -2.518796453708223, -1.5430999653958217, 0.1727931594301353]",[-0.6364616997376191]
"[-0.5645049299419159, -2.5280003384355365, -1.3878780511052184, -0.32195970882158065]",[-0.6358362391848373]
"[-0.5645049299419159, -2.5372042231628504, -1.1103024408841762, -0.7177620034229619]",[-0.6348665242741174]
"[-0.5675728915176872, -2.5464081078901644, -1.0416400314958985, -1.0344038391040584]",[-0.6337663133290192]
"[-0.5675728915176872, -2.5586799541932495, -0.8333120251967188, -1.4411153864375024]",[-0.632655693992201]
"[-0.5675728915176872, -2.5740197620721057, -0.6666496201573757, -1.9198827030928278]",[-0.6314587690485857]
"[-0.5675728915176872, -2.5893595699509624, -0.5333196961259006, -2.3028965564170782]",[-0.6299668755310799]
"[-0.5645049299419159, -2.60776733940559, -0.27325767811215584, -2.762705717865053]",[-0.6281806875007125]
"[-0.5614369683661447, -2.629243070435989, -0.06520806370116361, -3.2839511258119884]",[-0.6260217808299957]
"[-0.5583690067903734, -2.650718801466388, 0.10123162782763728, -3.700947452169544]",[-0.6236907441210571]
"[-0.5522330836388308, -2.675262494072558, 0.38778145983923196, -4.187942592044152]",[-0.6213041181158271]
"[-0.5460971604872883, -2.6998061866787286, 0.6170213254485191, -4.5775387039438336]",[-0.6187219166244358]
"[-0.5399612373357456, -2.724349879284899, 0.8004132179359438, -4.889215593463579]",[-0.6163393472560283]
"[-0.5338253141842031, -2.75196153346684, 0.9471267319258843, -5.291955183867941]",[-0.6142403866354645]
"[-0.5246214294568893, -2.782641149224553, 1.217895621906397, -5.767544934979991]",[-0.612243454282516]
"[-0.5154175447295755, -2.816388726558037, 1.4345107338908036, -6.301414814658202]",[-0.6098824535019203]
"[-0.5031456984264903, -2.84706834231575, 1.761200902266907, -6.575112639612204]",[-0.6066672045283139]
"[-0.49394181369917645, -2.8838838812250054, 1.869154958179216, -7.100867057152531]",[-0.6034548082135232]
"[-0.47860200582032003, -2.9206994201342606, 2.2623143604861973, -7.521470591184794]",[-0.6009040334566293]
"[-0.4663301595172349, -2.9575149590435164, 2.4234438035432113, -7.857953418410608]",[-0.598850626989242]
"[-0.45099035163837853, -2.997398459528543, 2.705745436777388, -8.280537758979818]",[-0.5965346771826799]
"[-0.4356505437595221, -3.0372819600135696, 2.9315867433647327, -8.61860523143519]",[-0.5944020278255961]
"[-0.4203107358806657, -3.0802334220743677, 3.1122597886346064, -9.04245728818805]",[-0.5927478934812441]
"[-0.401902966426038, -3.120116922559394, 3.4101963036390686, -9.228140854801774]",[-0.5911223733225068]
"[-0.3865631585471816, 3.1201169225593945, 3.4951474368540723, -9.530085786881315]",[-0.5897937922673699]
"[-0.3712233506683252, 3.0802334220743672, 3.5631083434260766, -9.618243653756386]",[-2.8590520315598535]
"[-0.3528155812136975, 3.037281960013569, 3.770875147472246, -9.842168026045007]",[-15.0]
"[-0.3282718886075272, 2.994330497952771, 4.2438847482863125, -10.021307523875903]",[-15.0]
"[-0.29145634969827183, 2.9483110743162024, 5.235884744091816, -10.318017200929186]",[-15.0]
"[-0.25770877236478773, 2.893087765952319, 5.876086661947657, -11.0155791789375]",[0.553099175687362]
"[-0.2270291566070749, 2.840932419164208, 6.2348501174437665, -11.42023068255559]",[3.5641490322767106]
"[-0.19941750242513334, 2.788777072376096, 6.368462803052092, -11.743951885450064]",[-0.24384662912674798]
"[-0.17487380981896308, 2.7396896871637555, 6.321954872750187, -11.849530768977075]",[0.5167018048736225]
"[-0.15033011721279282, 2.6906023019514143, 6.284748528508662, -11.93399387579869]",[0.5827910795848743]
"[-0.12578642460662257, 2.6476508398906162, 6.254983453115442, -11.694768203678846]",[-0.5881207207160957]
"[-0.1043106935762236, 2.604699377829819, 6.077773314012302, -11.503387665982974]",[-0.5391119100841615]
"[-0.0859029241215959, 2.561747915769021, 5.7826071239412284, -11.350283235826279]",[-0.5897555681708224]
"[-0.0674951546669682, 2.5249323768597653, 5.546474171884366, -10.921003534123791]",[-0.6197971819577165]
"[-0.0521553467881118, 2.4911847995262812, 5.204169731450314, -10.424181693973242]",[-0.6244054932694555]
"[-0.03681553890925539, 2.457437222192797, 4.930326179103072, -10.026724221852795]",[-0.6228147620406361]
"[-0.021475731030398976, 2.423689644859313, 4.711251337225279, -9.708758244156442]",[-0.6257749244195254]
"[-0.009203884727313847, 2.3930100291016005, 4.382593384934479, -9.300987383210796]",[-0.6322402115563828]
"[0.0030679615757712823, 2.3653983749196588, 4.11966702310184, -8.821372615665709]",[-0.6372670360854754]
"[0.015339807878856412, 2.337786720737717, 3.9093259336357282, -8.437680801629643]",[-0.6408478791772796]
"[0.02454369260617026, 2.313243028131547, 3.587654983274275, -7.977329271612227]",[-0.6447692909310747]
"[0.03681553890925539, 2.2917672971011482, 3.4837163017736765, -7.4556499688097375]",[-0.6487263324961245]
"[0.04601942363656923, 2.270291566070749, 3.2471672777846337, -7.03830652656773]",[-0.6523349192118131]
"[0.05522330836388308, 2.251883796616121, 3.0579280585933994, -6.551033693985566]",[-0.6559470000908312]
"[0.06135923151542565, 2.233476027161494, 2.7531386044518475, -6.161215427919842]",[-0.6590354534655605]
"[0.07056311624273949, 2.218136219282637, 2.6627051199271703, -5.695962736278702]",[-0.6618786023409584]
"[0.07669903939428206, 2.205864372979552, 2.4369602535188646, -5.17036250417722]",[-0.6642663631307064]
"[0.0859029241215959, 2.1935925266764666, 2.409762439180784, -4.749882318496027]",[-0.6663962146136551]
"[0.09203884727313846, 2.1843886419491527, 2.2346061089217555, -4.2601000911625135]",[-0.6686465074834111]
"[0.09817477042468103, 2.175184757221839, 2.094481044714533, -3.868274309295707]",[-0.6703790341896991]
"[0.10124273200045232, 2.1690488340702965, 1.828982914560191, -3.401415605013696]",[-0.6718924687797051]
"[0.10737865515199488, 2.1659808724945258, 1.7699824892252805, -2.874530562799521]",[-0.6729281415307622]
"[0.11351457830353745, 2.162912910918754, 1.7227821489573527, -2.453022529028175]",[-0.6736062208095819]
"[0.11658253987930872, 2.162912910918754, 1.5316237979544454, -1.9624180232225399]",[-0.6742884804869355]
"[0.1227184630308513, 2.162912910918754, 1.532095195940685, -1.569934418578029]",[-0.6744630434262245]
"[0.12578642460662257, 2.1659808724945258, 1.379074235541112, -1.1025494560738593]",[-0.6745260719879069]
"[0.12885438618239387, 2.172116795646068, 1.256657467221455, -0.5752434072819597]",[0.6741520850101017]
"[0.13192234775816514, 2.1782527187976104, 1.1587240525657272, -0.15339856824843423]",[0.6733428904809075]
"[0.1349903093339364, 2.1874566035249243, 1.080377320841146, 0.3374753817669429]",[0.6724238714382913]
"[0.1380582709097077, 2.1966604882522383, 1.017699935461482, 0.7301745417792418]",[0.6710318492068363]
"[0.1380582709097077, 2.208932334555323, 0.814159948369185, 1.1977319485776547]",[0.6696533275288079]
"[0.1380582709097077, 2.22427214243418, 0.6513279586953491, 1.725175952804939]",[0.6679073687202229]
"[0.1380582709097077, 2.2396119503130363, 0.5210623669562784, 2.1471311561867736]",[0.6656763654054898]
"[0.1380582709097077, 2.258019719767664, 0.4168498935650229, 2.638093397680805]",[0.6632370826069857]
"[0.1380582709097077, 2.276427489222291, 0.33347991485201867, 3.0308631908760333]",[0.6603892296818364]
"[0.1349903093339364, 2.2979032202526906, 0.11338585309305049, 3.4984771042207683]",[0.6576977551857512]
"[0.1349903093339364, 2.3224469128588607, 0.09070868247444075, 4.025966313685132]",[0.6547412999958356]
"[0.12885438618239387, 2.3500585670408025, -0.23422921159757415, 4.60135576004518]",[0.6512853246527064]
"[0.12578642460662257, 2.3776702212227434, -0.34078144806662447, 5.061667317133228]",[0.6470691832425846]
"[0.11965050145508001, 2.408349836980457, -0.5794213160304276, 5.583314641592217]",[0.6426048056431268]
"[0.11351457830353745, 2.4390294527381693, -0.7703332104014695, 6.000632501159423]",[0.638183648762023]
"[0.10737865515199488, 2.475844991647425, -0.923062725898304, 6.641282946390305]",[0.6342904299652996]
"[0.09817477042468103, 2.509592568980909, -1.1986444170843358, 7.000405223786451]",[0.6297847373061848]
"[0.08897088569736719, 2.5494760694659355, -1.4191097700331614, 7.594499203280492]",[0.6251810862061891]
"[0.07669903939428206, 2.589359569950962, -1.7488801311807851, 8.069774386875725]",[0.6200969875271928]
"[0.06442719309119693, 2.63231103201176, -2.0126964200988846, 8.603392612540478]",[0.6153402898006338]
"[0.04908738521234052, 2.6783304556483296, -2.377147530021929, 9.183685271860849]",[0.6103379359071768]
"[0.0337475773334841, 2.7243498792848984, -2.6687084179603637, 9.64791939931714]",[0.6050815554940411]
"[0.015339807878856412, 2.7734372644972396, -3.0553552070996757, 10.172704780070738]",[0.5999624379882113]
"[-0.0030679615757712823, 2.8255926112853507, -3.3646726384111254, 10.745931163462181]",[0.5952044860583272]
"[-0.021475731030398976, 2.8808159196492342, -3.6121265834602845, 11.357910348963898]",[0.5907732735395694]
"[-0.04295146206079795, 2.936039228013117, -3.9634878182881765, 11.847493697365275]",[0.5858792643553777]
"[-0.0674951546669682, 2.9912625363770005, -4.397974884939054, 12.239160376086375]",[0.5808234964336936]
"[-0.09203884727313846, 3.0495538063166547, -4.745564538259757, 12.70589179785182]",[0.5771368320075044]
"[-0.11351457830353745, 3.1047771146805374, -4.870238182127754, 12.92587885647561]",[0.5753129036802419]
"[-0.1380582709097077, -3.117048960983623, -5.1233751760107165, 13.40866466095177]",[0.5743958145740459]
"[-0.16260196351587797, -3.06182565261974, -5.325884771117087, 13.488097146955571]",[2.677656705428917]
"[-0.18714565612204823, -3.0035343826800855, -5.4878924472021815, 13.705041214547174]",[15.0]
"[-0.2270291566070749, -2.9421751511646597, -6.384488982013079, 14.03199454740902]",[15.0]
"[-0.2638446955163303, -2.8808159196492342, -6.948368131073232, 14.293557213698499]",[15.0]
"[-0.30066023442558565, -2.816388726558037, -7.399471450321354, 14.656205425518648]",[-0.6668014919683042]
"[-0.3313398501832985, -2.75196153346684, -7.453557948142723, 14.946323994974762]",[-3.772087159216664]
"[-0.3620194659410113, -2.6875343403756435, -7.496827146399822, 15.178418850539657]",[0.19365164782770422]
"[-0.38963112012295287, -2.6261751088602177, -7.378044426216935, 15.21069665620301]",[-0.5440762802460026]
"[-0.4141748127291231, -2.5678838389205634, -7.1296201712820615, 15.083120821945128]",[-0.6027398726691344]
"[-0.4387185053352934, -2.5126605305566803, -6.930880767334164, 14.82766207575025]",[0.5816785572245767]
"[-0.45712627478992107, -2.4605051837685683, -6.4650930865987135, 14.469897000005794]",[0.5266884880702659]
"[-0.47553404424454876, -2.414485760131999, -6.092462942010357, 13.876888781833095]",[0.5873150393980489]
"[-0.49394181369917645, -2.36846633649543, -5.794358826339671, 13.402482207294941]",[0.6255394781883881]
"[-0.5092816215780329, -2.3224469128588607, -5.402477455014559, 13.022956947664412]",[0.634054487259786]
"[-0.521553467881118, -2.2825634123738343, -4.935574279165902, 12.412540582382864]",[0.6342290248556175]
"[-0.5338253141842031, -2.2426799118888074, -4.562051738486975, 11.92420749015762]",[0.6366403017787453]
"[-0.5460971604872883, -2.2027964114037806, -4.26323370594384, 11.533541016377434]",[0.6442635309409319]
"[-0.5553010452146021, -2.1690488340702965, -3.87078120112076, 10.914211679776159]",[0.6527817699469853]
"[-0.5645049299419159, -2.1353012567368124, -3.5568191972623, 10.418748210495124]",[0.6587648697630748]
"[-0.5737088146692298, -2.1046216409791, -3.3056495941755344, 9.868979356281748]",[0.6642006254379302]
"[-0.5829126993965437, -2.077009986797158, -3.1047139117061207, 9.275766194122475]",[0.669850759201745]
"[-0.5890486225480862, -2.0493983326152163, -2.7905672869420215, 8.80119566439506]",[0.6752866218303077]
"[-0.5951845456996288, -2.024854640009046, -2.539249987130745, 8.268141161824552]",[0.6805298559665949]
"[-0.6013204688511713, -2.000310947402876, -2.3381961472817174, 7.84169755976815]",[0.684999689577219]
"[-0.607456392002714, -1.9788352163724772, -2.177353075402511, 7.34714459933447]",[0.6891653935130317]
"[-0.6135923151542565, -1.9604274469178493, -2.048678617899135, 6.798104152198967]",[0.6928542159829741]
"[-0.619728238305799, -1.9420196774632217, -1.9457390518964353, 6.358871794490554]",[0.6963075318278498]
"[-0.6227961998815703, -1.9266798695843652, -1.7099893203057128, 5.854087829535267]",[0.6999528244683916]
"[-0.6289321230331129, -1.9144080232812801, -1.6747876138216995, 5.296862578782466]",[0.7030019839695217]
"[-0.6320000846088841, -1.902136176978195, -1.4932281698459207, 4.851082378180223]",[0.7054221352427748]
"[-0.6350680461846554, -1.892932292250881, -1.3479806146652997, 4.341060138909874]",[0.7078427831523195]
"[-0.6381360077604268, -1.8837284075235674, -1.23178257052081, 3.9330423474935827]",[0.7097234915973551]
"[-0.641203969336198, -1.880660445947796, -1.1388241352052084, 3.2998319567834358]",[0.7114263681969839]
"[-0.6442719309119693, -1.8745245227962535, -1.0644573869527285, 2.946661723003878]",[0.712205260522415]
"[-0.6473398924877406, -1.8745245227962535, -1.0049639883507524, 2.357329378403101]",[0.7134437331371312]
"[-0.6504078540635119, -1.8714565612204823, -0.9573692694691616, 2.0392615815110418]",[0.7136860814472799]
"[-0.6534758156392831, -1.8745245227962535, -0.9192934943638917, 1.4780111864202752]",[0.7142475975312207]
"[-0.6565437772150544, -1.8775924843720249, -0.8888328742796752, 1.0290108703476548]",[0.7138584773675094]
"[-0.6596117387908257, -1.8837284075235674, -0.864464378212304, 0.5164125387009975]",[-0.7134298162046069]
